epoch,lr,train_total,train_recon_mse,train_kl,val_total,val_recon_mse,val_kl
1,9.9729e-05,0.022464,0.022061,0.402905,0.011407,0.010957,0.450772
2,9.8918e-05,0.008040,0.007581,0.459139,0.007824,0.007330,0.493920
3,9.7577e-05,0.006721,0.006228,0.492539,0.006193,0.005673,0.520404
4,9.5721e-05,0.005829,0.005293,0.535960,0.005380,0.004824,0.556166
5,9.3368e-05,0.005285,0.004712,0.572687,0.004925,0.004344,0.581299
6,9.0546e-05,0.004918,0.004314,0.603887,0.004519,0.003908,0.610715
7,8.7286e-05,0.004663,0.004028,0.634335,0.004350,0.003714,0.636113
8,8.3622e-05,0.004458,0.003794,0.663870,0.004219,0.003556,0.662871
9,7.9595e-05,0.004290,0.003597,0.692600,0.004192,0.003500,0.692710
10,7.5250e-05,0.004166,0.003447,0.718686,0.003939,0.003220,0.718798
11,7.0633e-05,0.004072,0.003330,0.742296,0.004062,0.003326,0.736063
12,6.5796e-05,0.003992,0.003230,0.762347,0.003901,0.003147,0.753895
13,6.0792e-05,0.003933,0.003154,0.778928,0.003866,0.003092,0.773912
14,5.5674e-05,0.003881,0.003088,0.792894,0.003822,0.003039,0.782987
15,5.0500e-05,0.003836,0.003032,0.803958,0.003745,0.002954,0.790775
16,4.5326e-05,0.003794,0.002981,0.812946,0.003772,0.002970,0.801642
17,4.0208e-05,0.003765,0.002944,0.820773,0.003662,0.002859,0.802814
18,3.5204e-05,0.003734,0.002908,0.826009,0.003704,0.002890,0.813225
19,3.0367e-05,0.003707,0.002875,0.831506,0.003723,0.002904,0.818582
20,2.5750e-05,0.003688,0.002852,0.835762,0.003716,0.002895,0.821205
21,2.1405e-05,0.003663,0.002823,0.839929,0.003672,0.002847,0.824403
22,1.7378e-05,0.003654,0.002811,0.842434,0.003712,0.002886,0.826320
23,1.3714e-05,0.003635,0.002790,0.844282,0.003712,0.002885,0.827207
24,1.0454e-05,0.003623,0.002777,0.846167,0.003661,0.002833,0.827823
25,7.6317e-06,0.003615,0.002768,0.847226,0.003660,0.002832,0.828218
26,5.2795e-06,0.003608,0.002760,0.847752,0.003676,0.002846,0.829747
27,3.4227e-06,0.003602,0.002753,0.848901,0.003663,0.002832,0.831423
28,2.0817e-06,0.003598,0.002748,0.849380,0.003640,0.002810,0.829704
29,1.2712e-06,0.003594,0.002745,0.849428,0.003648,0.002817,0.830945
30,1.0000e-06,0.003593,0.002743,0.849976,0.003637,0.002806,0.831011
